Name,Date of Birth,Date of Death,Content,Author,Submission Date,Slug
Nelson Mandela,1918-07-18,2013-12-05,"Nelson Mandela was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa.",Anonymous,2024-07-16 12:00:00,nelson-mandela-1626439200.0
Albert Einstein,1879-03-14,1955-04-18,"Albert Einstein was a German-born theoretical physicist, widely acknowledged to be one of the greatest physicists of all time.",Anonymous,2024-07-16 12:00:00,albert-einstein-1626439200.0
Marie Curie,1867-11-07,1934-07-04,"Marie Curie was a physicist and chemist who conducted pioneering research on radioactivity.",Anonymous,2024-07-16 12:00:00,marie-curie-1626439200.0
Leonardo da Vinci,1452-04-15,1519-05-02,"Leonardo da Vinci was an Italian polymath of the Renaissance whose areas of interest included invention, painting, sculpting, architecture, science, music, mathematics, engineering, literature, anatomy, geology, astronomy, botany, writing, history, and cartography.",Anonymous,2024-07-16 12:00:00,leonardo-da-vinci-1626439200.0
Steve Jobs,1955-02-24,2011-10-05,"Steve Jobs was an American business magnate, industrial designer, investor, and media proprietor. He was the chairman, chief executive officer (CEO), and co-founder of Apple Inc., chairman and majority shareholder of Pixar, and a member of The Walt Disney Company's board of directors following its acquisition of Pixar.",Anonymous,2024-07-16 12:00:00,steve-jobs-1626439200.0
Mother Teresa,1910-08-26,1997-09-05,"Mother Teresa, known in the Roman Catholic Church as Saint Teresa of Calcutta, was an Albanian-Indian Roman Catholic nun and missionary. She was born in Skopje (now the capital of North Macedonia), then part of the Kosovo Vilayet in the Ottoman Empire.",Anonymous,2024-07-16 12:00:00,mother-teresa-1626439200.0
Michael Jackson,1958-08-29,2009-06-25,"Michael Jackson was an American singer, songwriter, and dancer. Dubbed the ""King of Pop"", he is regarded as one of the most significant cultural figures of the 20th century.",Anonymous,2024-07-16 12:00:00,michael-jackson-1626439200.0
Muhammad Ali,1942-01-17,2016-06-03,"Muhammad Ali was an American professional boxer, activist, entertainer, poet, and philanthropist. Nicknamed The Greatest, he is widely regarded as one of the most significant and celebrated sports figures of the 20th century, and as one of the greatest boxers of all time.",Anonymous,2024-07-16 12:00:00,muhammad-ali-1626439200.0
Stephen Hawking,1942-01-08,2018-03-14,"Stephen Hawking was an English theoretical physicist, cosmologist, and author who was director of research at the Centre for Theoretical Cosmology at the University of Cambridge at the time of his death. He was the Lucasian Professor of Mathematics at the University of Cambridge between 1979 and 2009.",Anonymous,2024-07-16 12:00:00,stephen-hawking-1626439200.0
Marilyn Monroe,1926-06-01,1962-08-05,"Marilyn Monroe was an American actress, model, and singer. Famous for playing comedic ""blonde bombshell"" characters, she became one of the most popular sex symbols of the 1950s and early 1960s and was emblematic of the era's changing attitudes towards sexuality.",Anonymous,2024-07-16 12:00:00,marilyn-monroe-1626439200.0
Martin Luther King Jr.,1929-01-15,1968-04-04,"Martin Luther King Jr. was an American Baptist minister and activist who became the most visible spokesperson and leader in the Civil Rights Movement from 1955 until his assassination in 1968.",Anonymous,2024-07-16 12:00:00,martin-luther-king-jr-1626439200.0
John Lennon,1940-10-09,1980-12-08,"John Lennon was an English singer, songwriter, and peace activist who co-founded the Beatles, the most commercially successful band in the history of popular music.",Anonymous,2024-07-16 12:00:00,john-lennon-1626439200.0
Princess Diana,1961-07-01,1997-08-31,"Diana, Princess of Wales, was a member of the British royal family. She was the first wife of Charles, Prince of Wales, the heir apparent to the British throne, and the mother of Prince William and Prince Harry.",Anonymous,2024-07-16 12:00:00,princess-diana-1626439200.0
Elvis Presley,1935-01-08,1977-08-16,"Elvis Presley, often referred to simply as Elvis, was an American singer and actor. Regarded as one of the most significant cultural icons of the 20th century, he is often referred to as the ""King of Rock and Roll"" or simply ""The King"".",Anonymous,2024-07-16 12:00:00,elvis-presley-1626439200.0
Jim Morrison,1943-12-08,1971-07-03,"Jim Morrison was an American singer, songwriter, and poet, best remembered as the lead vocalist of the rock band the Doors. Due to his poetic lyrics, distinctive voice, wild personality, performances, and the dramatic circumstances surrounding his life and early death, Morrison is regarded by music critics and fans as one of the most iconic and influential frontmen in rock music history.",Anonymous,2024-07-16 12:00:00,jim-morrison-1626439200.0
Jane Austen,1775-12-16,1817-07-18,"Jane Austen was an English novelist known primarily for her six major novels, which interpret, critique and comment upon the British landed gentry at the end of the 18th century. Her plots often explore the dependence of women on marriage in the pursuit of favorable social standing and economic security.",Anonymous,2024-07-16 12:00:00,jane-austen-1626439200.0
Bob Marley,1945-02-06,1981-05-11,"Bob Marley was a Jamaican singer, songwriter, and musician. Considered one of the pioneers of reggae, his musical career was marked by fusing elements of reggae, ska, and rocksteady, as well as his distinctive vocal and songwriting style.",Anonymous,2024-07-16 12:00:00,bob-marley-1626439200.0
Robin Williams,1951-07-21,2014-08-11,"Robin Williams was an American actor and comedian. Known for his improvisational skills and the wide variety of memorable voices he created, he is regarded as one of the best comedians of all time.",Anonymous,2024-07-16 12:00:00,robin-williams-1626439200.0
Jimi Hendrix,1942-11-27,1970-09-18,"Jimi Hendrix was an American rock guitarist, singer, and songwriter. Although his mainstream career spanned only four years, he is widely regarded as one of the most influential electric guitarists in the history of popular music.",Anonymous,2024-07-16 12:00:00,jimi-hendrix-1626439200.0
Emily Dickinson,1830-12-10,1886-05-15,"Emily Dickinson was an American poet. While Dickinson was a prolific private poet, fewer than a dozen of her nearly 1,800 poems were published during her lifetime.",Anonymous,2024-07-16 12:00:00,emily-dickinson-1626439200.0
